getID,getDtDef,getIsFirstClassConcept,getIsSpecialCase,getMsItemKindString,getInheritedDtDef,getInheritedMsItemKindString,Xml,
41,,false,false,xs:pattern,,unknown,<xs:pattern value="#[\dA-F]{6}([\dA-F][\dA-F])?"/>,
49,,false,false,xs:pattern,,unknown,<xs:pattern value="[^]+( ?[^]+)*"/>,
455,,false,false,xs:pattern,,unknown,<xs:pattern value="[1-9][0-9]*( ?[1-9][0-9]*)*"/>,
567,,false,false,xs:pattern,,unknown,<xs:pattern value="[^:Z]*"/>,
747,,false,false,xs:pattern,,unknown,<xs:pattern value="([ ]*)|([1-9][0-9]*( ?[1-9][0-9]*)*)"/>,
