getID,getDtDef,getIsFirstClassConcept,getIsSpecialCase,getMsItemKindString,getInheritedDtDef,getInheritedMsItemKindString(),
3711,number,true,false,xs:attribute,number-level,xs:simpleType,
3714,size,true,false,xs:attribute,xs:positiveInteger,xs:simpleType,
3729,sound,true,false,xs:attribute,yes-no,xs:simpleType,
3747,type,true,false,xs:attribute,start-stop-change-continue,xs:simpleType,
3751,line,true,false,xs:attribute,yes-no,xs:simpleType,
3754,sign,true,false,xs:attribute,yes-no,xs:simpleType,
3832,type,true,false,xs:attribute,start-stop,xs:simpleType,
3836,symbol,true,false,xs:attribute,principal-voice-symbol,xs:simpleType,
3890,location,true,false,xs:attribute,left-right,xs:simpleType,
3900,text,true,false,xs:attribute,xs:token,xs:simpleType,
3938,tempo,true,false,xs:attribute,non-negative-decimal,xs:simpleType,
3941,dynamics,true,false,xs:attribute,non-negative-decimal,xs:simpleType,
3944,dacapo,true,false,xs:attribute,yes-no,xs:simpleType,
3947,segno,true,false,xs:attribute,xs:token,xs:simpleType,
3950,dalsegno,true,false,xs:attribute,xs:token,xs:simpleType,
3953,coda,true,false,xs:attribute,xs:token,xs:simpleType,
3956,tocoda,true,false,xs:attribute,xs:token,xs:simpleType,
3959,divisions,true,false,xs:attribute,divisions,xs:simpleType,
3962,forward-repeat,true,false,xs:attribute,yes-no,xs:simpleType,
3965,fine,true,false,xs:attribute,xs:token,xs:simpleType,
3968,time-only,true,false,xs:attribute,time-only,xs:simpleType,
3971,pizzicato,true,false,xs:attribute,yes-no,xs:simpleType,
3974,pan,true,false,xs:attribute,rotation-degrees,xs:simpleType,
3977,elevation,true,false,xs:attribute,rotation-degrees,xs:simpleType,
3980,damper-pedal,true,false,xs:attribute,yes-no-number,xs:simpleType,
3983,soft-pedal,true,false,xs:attribute,yes-no-number,xs:simpleType,
3986,sostenuto-pedal,true,false,xs:attribute,yes-no-number,xs:simpleType,
4000,tip,true,false,xs:attribute,tip-direction,xs:simpleType,
4007,type,true,false,xs:attribute,on-off,xs:simpleType,
4017,type,true,false,xs:attribute,wedge-type,xs:simpleType,
4021,number,true,false,xs:attribute,number-level,xs:simpleType,
4024,spread,true,false,xs:attribute,tenths,xs:simpleType,
4027,niente,true,false,xs:attribute,yes-no,xs:simpleType,
4117,name,true,false,xs:attribute,xs:token,xs:simpleType,
4125,type,true,false,xs:attribute,yes-no,xs:simpleType,
4129,element,true,false,xs:attribute,xs:NMTOKEN,xs:simpleType,
4133,attribute,true,false,xs:attribute,xs:NMTOKEN,xs:simpleType,
4136,value,true,false,xs:attribute,xs:token,xs:simpleType,
4171,type,true,false,xs:attribute,distance-type,xs:simpleType,
4182,type,true,false,xs:attribute,line-width-type,xs:simpleType,
4204,type,true,false,xs:attribute,note-size-type,xs:simpleType,
4215,type,true,false,xs:attribute,xs:token,xs:simpleType,
4243,type,true,false,xs:attribute,margin-type,xs:simpleType,
4266,number,true,false,xs:attribute,staff-number,xs:simpleType,
4311,id,true,false,xs:attribute,xs:ID,xs:simpleType,
4315,name,true,false,xs:attribute,xs:token,xs:simpleType,
4326,name,true,false,xs:attribute,xs:token,xs:simpleType,
4340,cautionary,true,false,xs:attribute,yes-no,xs:simpleType,
4343,editorial,true,false,xs:attribute,yes-no,xs:simpleType,
4365,number,true,false,xs:attribute,number-level,xs:simpleType,
4368,direction,true,false,xs:attribute,up-down,xs:simpleType,
4498,number,true,false,xs:attribute,beam-level,xs:simpleType,
4502,repeater,true,false,xs:attribute,yes-no,xs:simpleType,
4505,fan,true,false,xs:attribute,fan,xs:simpleType,
4571,type,true,false,xs:attribute,start-stop-continue,xs:simpleType,
4621,parentheses,true,false,xs:attribute,yes-no,xs:simpleType,
4643,type,true,false,xs:attribute,start-stop,xs:simpleType,
4647,number,true,false,xs:attribute,number-level,xs:simpleType,
4661,steal-time-previous,true,false,xs:attribute,percent,xs:simpleType,
4664,steal-time-following,true,false,xs:attribute,percent,xs:simpleType,
4667,make-time,true,false,xs:attribute,divisions,xs:simpleType,
4670,slash,true,false,xs:attribute,yes-no,xs:simpleType,
4680,type,true,false,xs:attribute,start-stop,xs:simpleType,
4684,number,true,false,xs:attribute,number-level,xs:simpleType,
4750,substitution,true,false,xs:attribute,yes-no,xs:simpleType,
4784,location,true,false,xs:attribute,hole-closed-location,xs:simpleType,
4791,id,true,false,xs:attribute,xs:IDREF,xs:simpleType,
4855,number,true,false,xs:attribute,xs:NMTOKEN,xs:simpleType,
4858,name,true,false,xs:attribute,xs:token,xs:simpleType,
4878,long,true,false,xs:attribute,yes-no,xs:simpleType,
4881,approach,true,false,xs:attribute,above-below,xs:simpleType,
4884,departure,true,false,xs:attribute,above-below,xs:simpleType,
4891,type,true,false,xs:attribute,top-bottom,xs:simpleType,
4895,number,true,false,xs:attribute,number-level,xs:simpleType,
5062,dynamics,true,false,xs:attribute,non-negative-decimal,xs:simpleType,
5065,end-dynamics,true,false,xs:attribute,non-negative-decimal,xs:simpleType,
5068,attack,true,false,xs:attribute,divisions,xs:simpleType,
5071,release,true,false,xs:attribute,divisions,xs:simpleType,
5074,time-only,true,false,xs:attribute,time-only,xs:simpleType,
5077,pizzicato,true,false,xs:attribute,yes-no,xs:simpleType,
5087,size,true,false,xs:attribute,symbol-size,xs:simpleType,
5097,filled,true,false,xs:attribute,yes-no,xs:simpleType,
5100,parentheses,true,false,xs:attribute,yes-no,xs:simpleType,
5201,type,true,false,xs:attribute,start-stop-single,xs:simpleType,
5205,number,true,false,xs:attribute,number-level,xs:simpleType,
5249,measure,true,false,xs:attribute,yes-no,xs:simpleType,
5259,type,true,false,xs:attribute,start-stop,xs:simpleType,
5263,number,true,false,xs:attribute,number-level,xs:simpleType,
5279,type,true,false,xs:attribute,start-stop-continue,xs:simpleType,
5283,number,true,false,xs:attribute,number-level,xs:simpleType,
5319,type,true,false,xs:attribute,up-down,xs:simpleType,
5452,lang,false,true,xs:attribute,xml:lang,xs:simpleType,
5473,lang,false,true,xs:attribute,xml:lang,xs:simpleType,
5481,type,true,false,xs:attribute,start-stop,xs:simpleType,
5485,time-only,true,false,xs:attribute,time-only,xs:simpleType,
5492,type,true,false,xs:attribute,start-stop-continue,xs:simpleType,
5496,number,true,false,xs:attribute,number-level,xs:simpleType,
5549,type,true,false,xs:attribute,start-stop-single,xs:simpleType,
5574,type,true,false,xs:attribute,start-stop,xs:simpleType,
5578,number,true,false,xs:attribute,number-level,xs:simpleType,
5581,bracket,true,false,xs:attribute,yes-no,xs:simpleType,
5584,show-number,true,false,xs:attribute,show-tuplet,xs:simpleType,
5587,show-type,true,false,xs:attribute,show-tuplet,xs:simpleType,
5696,page,true,false,xs:attribute,xs:positiveInteger,xs:simpleType,
5771,number,true,false,xs:attribute,xs:NMTOKEN,xs:simpleType,
5774,name,true,false,xs:attribute,xs:token,xs:simpleType,
5783,number,true,false,xs:attribute,xs:NMTOKEN,xs:simpleType,
5786,name,true,false,xs:attribute,xs:token,xs:simpleType,
5789,lang,false,true,xs:attribute,xml:lang,xs:simpleType,
5839,type,true,false,xs:attribute,start-stop,xs:simpleType,
5843,number,true,false,xs:attribute,xs:token,xs:simpleType,
5912,id,true,false,xs:attribute,xs:ID,xs:simpleType,
5963,id,true,false,xs:attribute,xs:ID,xs:simpleType,
